# Autodesk Revit 2027 default command labels
# Source (English): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts.xlsx
# Source (Korean): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts_kor.xlsx
# CommandId	English	Korean
Control_Revit_ExplodedViewMode	Toggle Highlight Displacement Sets	변위 세트 하이라이트 전환
ID_MAKE_EDITABLE_BY_BORROWING	Make Elements Editable	요소를 편집가능으로 지정
ID_MAKE_EDITABLE_PREFER_CHECKOUT	Make Worksets Editable	작업 세트를 편집 가능으로 지정
ID_MAKE_PLAN_VIEW	Create Plan View	평면 뷰 작성
ID_MANAGE_CONNECTION_TO_A_REVIT_SERVER_ACCELERATOR	Manage Connection to a Revit Server Accelerator	Revit Server 가속기에 대한 연결 관리
ID_MANAGE_VIEW_POSITIONS	Manage Positions	위치 관리
ID_MARKUPS_LOAD	DWF Markup	DWF 마크업
ID_MASKING_REGION	Masking Region; Masking Region	마스킹 영역; 마스킹 영역
ID_MASSING_CREATE_FAF	Mass Floors	매스 바닥
ID_MASSING_RELATED_HOSTS	Related Hosts	관련 호스트
ID_MEASURE_LINE	Measure:Measure Between Two References	측정:두 참조 간 측정
ID_MEASURE_PICK_LINES	Measure:Measure Along an Element	측정:요소를 따라 측정
ID_MECHANICAL_EQUIPMENT_SET_ADD	Add to Set	세트에 추가
ID_MECHANICAL_EQUIPMENT_SET_EDIT_SYSTEM	Edit System	시스템 편집
ID_MECHANICAL_EQUIPMENT_SET_REMOVE	Remove from Set	세트에서 제거
ID_MEP_ANALYTICAL_PIPE_CONNECTION	Analytical Connections	해석 연결
ID_MEP_DIVIDE_ELECTRICAL_ANALYTICAL_LOAD	Divide Area Based Load	영역 부하 분할
ID_MEP_DUCT_PRESSURE_LOSS_REPORT	Duct Pressure Loss Report	덕트 압력 손실 보고서
ID_MEP_ELECTRICAL_ANALYSIS_SETTINGS	MEP Settings:Electrical Analytical Load Type Settings	MEP 설정:전기 해석 부하 유형 설정
ID_MEP_ELECTRICAL_ANALYTICAL_LOAD_EDIT	Edit Area Based Load	영역 부하 편집
ID_MEP_ELECTRICAL_ANALYTICAL_LOAD_SET	Add Load Set	부하 세트 추가
ID_MEP_ELECTRICAL_ANALYTICAL_SHOW_CALC_REPORT	Show Calculation Report	계산 보고서 표시
ID_MEP_FABRICATION_SETTINGS	MEP Settings:Fabrication Settings	MEP 설정:제작 설정
ID_MEP_HYDRAULIC_SEPARATION	Add Separation	분리 추가
ID_MEP_PIPE_PRESSURE_LOSS_REPORT	Pipe Pressure Loss Report	배관 압력 손실 보고서
ID_MEP_PNID_MODELER	P&ID Modeler	P&ID 모델러
ID_MEP_PNID_SETTINGS	MEP Settings:P&ID Settings	MEP 설정:P&ID 설정
ID_MEP_SELECT_DUCT_PRESSURE_LOSS_REPORT	Duct Pressure Loss Report	덕트 압력 손실 보고서
ID_MEP_SELECT_PIPE_PRESSURE_LOSS_REPORT	Pipe Pressure Loss Report	배관 압력 손실 보고서
ID_MEP_SPACE_NAMING_UTILITY	Space Naming	공간 명명
ID_MEP_SYSTEM_ZONE_BY_SKETCH	By Sketch	스케치별
ID_MEP_SYSTEM_ZONE_BY_SPACES	By Space	공간별
ID_MEP_SYSTEM_ZONE_EDIT	Edit Zone	구역 편집
ID_MEP_TOGGLE_PNID_BROWSER	P&ID Modeler	P&ID 모델러
ID_MERGED_PART_ADD	Add	추가
ID_MERGED_PART_CANCEL_EDIT	Cancel Edit Mode	편집 모드 취소
ID_MERGED_PART_EDIT	Edit Merged Part	병합된 부품 편집
ID_MERGED_PART_FINISH_EDIT	Finish Edit Mode	편집 모드 완료
ID_MERGED_PART_REMOVE	Remove	제거
ID_MERGE_LEADER_ELBOWS	Merge Leaders	지시선 병합
ID_MIRROR_PROJECT	Position:Mirror Project	위치:프로젝트 대칭
ID_MODIFY_ANALYSIS_DISPLAY_STYLE	Edit Style	스타일 편집
ID_MODIFY_CROP_AREA	Size Crop	크기 자르기
ID_MODIFY_SLAB_SHAPE_SUBS	Modify Sub Elements	하위 요소 수정
ID_MOVE_CROP_BOUNDARY	Move Crop Boundary	자르기 경계 이동
ID_MOVE_GROUP_MEMBER_TO_PROJECT	Move to Project	프로젝트로 이동
ID_MULTIPLE_PATHS	Multiple Paths	다중 경로
ID_MULTIPLE_VALUES_INDICATOR_SETTINGS	Additional Settings:Multiple Values Indication	추가 설정:다중 값 표시
ID_MULTI_REFERENCE_ANNOTATION_ALIGNED	Aligned Multi-Rebar Annotation	정렬된 MRA(다중 보강 철근 주석)
ID_MULTI_REFERENCE_ANNOTATION_LINEAR	Linear Multi-Rebar Annotation	선형 MRA(다중 보강 철근 주석)
ID_MULTI_REFERENCE_ANNOTATION_SELECT_DIMENSION	Select Dimension	치수 선택
ID_MULTI_REFERENCE_ANNOTATION_SELECT_TAG	Select Tag	태그 선택
ID_NAVBAR_3DCONTROLLER_2D	2D Mode (3D Mouse)	2D 모드(3D 마우스)
ID_NAVBAR_3DCONTROLLER_FLY	Fly Mode (3D Mouse)	비행뷰 모드(3D 마우스)
ID_NAVBAR_3DCONTROLLER_OBJECT	Object Mode (3D Mouse)	객체 모드(3D 마우스)
ID_NAVBAR_3DCONTROLLER_WALK	Walk Mode (3D Mouse)	보행시선 모드(3D 마우스)
ID_NAVIGATION_BAR	Navigation Bar	탐색 막대
ID_NAVWHEEL_CLOSE	Close	닫기
ID_NAVWHEEL_DECREASEWALKSPEED	Decrease Walk Speed	보행시선 속도 감소
ID_NAVWHEEL_EXTERIOR_WHEEL	View Object Wheel	객체 보기 휠
ID_NAVWHEEL_FITTOWINDOW	Fit to Window	창에 맞추기
ID_NAVWHEEL_FULL_WHEEL	Full Navigation Wheel	전체 탐색 휠
ID_NAVWHEEL_HELP	Help	도움말
ID_NAVWHEEL_INCREASEWALKSPEED	Increase Walk Speed	보행시선 속도 증가
ID_NAVWHEEL_INTERIOR_WHEEL	Tour Building Wheel	빌딩 둘러보기 휠
ID_NAVWHEEL_LEVELCAMERA	Level Camera	카메라 수평 조절
ID_NAVWHEEL_MINI_EIGHT_WHEEL	Mini Full Navigation Wheel	전체 탐색 휠(작은 크기)
ID_NAVWHEEL_MINI_MINI_WHEEL	Mini View Object Wheel	객체 보기 휠(작은 크기)
ID_NAVWHEEL_MINI_OTHER_WHEEL	Mini Tour Building Wheel	빌딩 둘러보기 휠(작은 크기)
ID_NAVWHEEL_OPTIONS	Options	옵션
ID_NAVWHEEL_RECENTERCROPBOUNDARY	Re-center Crop Boundary	자르기 경계 중심 재설정
ID_NAVWHEEL_RESTOREORIGINALCENTER	Restore Original Center	원래 중심 복원
ID_NAVWHEEL_SAVEVIEW	Save View	뷰 저장
ID_NAVWHEEL_UNDOVIEWORIENTATIONCHANGES	Undo View Orientation Changes	뷰 방향 변경사항 실행취소
ID_NEW_MATCHLINE	Matchline	매치 라인
ID_NEW_PLAN_REGION	Plan Region; Plan Views:Plan Region	평면 영역; 평면도:평면 영역
ID_NEW_REFERENCE_VIEWER	View Reference	뷰 참조
ID_NEW_REVIT_DESIGN_MODEL	Conceptual Mass	개념 매스
ID_NEW_VIEWLIST	Schedules:View List	일람표:뷰 리스트
ID_NUMBERING_REINF_PARTITIONS	Reinforcement Numbers	철근 배근 번호
ID_OBJECTS_AREA	Area	면적
ID_OBJECTS_AREASCHEME_BOUNDARY	Area Boundary	영역 경계
ID_OBJECTS_AREA_SEPARATION	Room Separator	룸 구분 기호
ID_OBJECTS_AREA_TAG	Tag Area; Tag Area; Area Tag	면적 태그 지정; 면적 태그 지정; 면적 태그
ID_OBJECTS_AXIS	Axis Line	축 선
ID_OBJECTS_BEAM	Structural Framing: Beam	구조 프레임: 보
ID_OBJECTS_BEAM_SYSTEM_TAG	Beam System Symbol	보 시스템 기호
ID_OBJECTS_BLEND	Solid Blend	솔리드 혼합
ID_OBJECTS_BLEND_CUT	Void Forms:Void Blend	보이드 양식:보이드 혼합
ID_OBJECTS_BRACE	Structural Framing: Brace	구조 프레임: 가새
ID_OBJECTS_CEILING	Ceiling; Automatic Ceiling	천장; 자동 천장
ID_OBJECTS_CLINE	Reference Plane; Reference Plane	참조 평면; 참조 평면
ID_OBJECTS_CLOUD	Revision Cloud	구름형 수정기호
ID_OBJECTS_COLUMN	Column:Column: Architectural	기둥:기둥: 건축
ID_OBJECTS_CONTINUOUS_FOOTING	Structural Foundation: Wall	구조 기초: 벽
ID_OBJECTS_CONTROL	Control	컨트롤
ID_OBJECTS_CORNICE	Wall:Wall: Sweep	벽:벽: 스윕
ID_OBJECTS_CURVE	Model Line; Model Line; Boundary Line; Rebar Line	모델 선; 모델 선; 경계 선; 보강 철근 선
ID_OBJECTS_CURVE_ARC_CENTER_ENDS	Line:Center-Ends Arc	선:중간-끝 호
ID_OBJECTS_CURVE_ARC_FILLET	Line:Fillet Arc	선:모깎기 호
ID_OBJECTS_CURVE_ARC_TAN	Line:Tangent End Arc	선:접선 끝 호
ID_OBJECTS_CURVE_ARC_THREE_PNT	Line:Start-End-Radius Arc	선:시작-끝-반지름 호
ID_OBJECTS_CURVE_CIRCLE	Line:Circle	선:원
ID_OBJECTS_CURVE_ELLIPSE	Line:Ellipse	선:타원
ID_OBJECTS_CURVE_ELLIPSE_PARTIAL	Line:Partial Ellipse	선:부분 타원
ID_OBJECTS_CURVE_LINE	Line:Line	선:선
ID_OBJECTS_CURVE_PICK_LINES	Line:Pick Lines	선:선 선택
ID_OBJECTS_CURVE_POLY_CIRCUMSCRIBED	Line:Circumscribed Polygon	선:외접 다각형
ID_OBJECTS_CURVE_POLY_INSCRIBED	Line:Inscribed Polygon	선:내접 다각형
ID_OBJECTS_CURVE_RECT	Line:Rectangle	선:직사각형
ID_OBJECTS_CURVE_SPLINE	Line:Spline	선:스플라인
ID_OBJECTS_CW_GRID	Curtain Grid	커튼월 그리드
ID_OBJECTS_DETAIL_CURVES	Detail Line	상세 선
ID_OBJECTS_DIVIDE	Divide Parts	부품 분할
ID_OBJECTS_DIVIDED_SURFACE	Divide Surface; Divide Surface	표면 분할; 표면 분할
ID_OBJECTS_DOOR	Door	문
ID_OBJECTS_EXTRUSION	Solid Extrusion	솔리드 돌출
ID_OBJECTS_EXTRUSION_CUT	Void Forms:Void Extrusion	보이드 양식:보이드 돌출
ID_OBJECTS_FAMDETAIL	Detail Component; Detail Component	상세 구성요소; 상세 구성요소
ID_OBJECTS_FAMILYHOST	Family Category and Parameters	패밀리 카테고리 및 매개변수
ID_OBJECTS_FAMSYM	Place a Component	구성요소 배치
ID_OBJECTS_FAM_ANN_INST	Symbol	기호
ID_OBJECTS_FILLED_REGION	Filled Region; Filled Region	채워진 영역; 채워진 영역
ID_OBJECTS_FLOOR	Floor; Floor:Floor: Architectural	바닥; 바닥:바닥: 건축
ID_OBJECTS_FOOTING_SLAB	Slab; Structural Foundation: Slab	슬래브; 구조 기초: 슬래브
ID_OBJECTS_GRID	Grid	그리드
ID_OBJECTS_GRID_CHAIN	Multi-Segment Grid	다중 세그먼트 그리드
ID_OBJECTS_INSULATION	Insulation	단열재
ID_OBJECTS_ISOLATED_FOOTING	Structural Foundation: Isolated	구조 기초: 분리됨
ID_OBJECTS_JOIST_SYSTEM	Structural Beam System; Automatic Beam System	구조 보 시스템; 자동 보 시스템
ID_OBJECTS_LEGEND_COMPONENT	Legend Component	범례 구성요소
ID_OBJECTS_LEVEL	Level	레벨
ID_OBJECTS_MASS	Place Mass	매스 배치
ID_OBJECTS_MEP_SPACE	Space	Space
ID_OBJECTS_MEP_SPACE_SEPARATION	Space Separator	공간 구분자
ID_OBJECTS_MEP_SPACE_TAG	Space Tag	공간 태그
ID_OBJECTS_MERGE	Merge Parts	부품 병합
ID_OBJECTS_MODELTEXT	Model Text	입체 문자
ID_OBJECTS_MULLION	Curtain Wall Mullion	커튼월 멀리언
ID_OBJECTS_OPENING	Opening	개구부
ID_OBJECTS_PARTS_RESET	Reset Shape	모양 재설정
ID_OBJECTS_PATH_REIN_SPAN_SYM	Path Reinforcement Symbol	경로 철근 배근 기호
ID_OBJECTS_PLACE_DETAIL_GROUP	Detail Group:Place Detail Group	상세 그룹:상세 그룹 배치
ID_OBJECTS_PLACE_GROUP	Model Group:Place Model Group	모델 그룹:모델 그룹 배치
ID_OBJECTS_PLACE_TITLEBLOCK	Title Block	제목 블록
ID_OBJECTS_PROJECT_CURVE	Model Line	모델 선
ID_OBJECTS_RAILING	Railing	난간
ID_OBJECTS_RAILING_ON_HOST	Railing:Place on Stair/Ramp	난간:계단/경사로에 배치
ID_OBJECTS_RAILING_ON_STRINGER	Stringer	계단옆판
ID_OBJECTS_RAILING_ON_TREADS	Treads	디딤판
ID_OBJECTS_RAMP	Ramp	경사로
ID_OBJECTS_RASTER	Import Image	이미지 가져오기
ID_OBJECTS_RASTER_PDF	Import PDF	PDF 가져오기
ID_OBJECTS_REBAR_CURVE	Rebar Line	보강 철근 선
ID_OBJECTS_REBAR_SYSTEM_SPAN_SYM	Area Reinforcement Symbol	면적 철근 배근 기호
ID_OBJECTS_REFERENCE_CURVE	Reference Line; Reference Line	참조 선; 참조 선
ID_OBJECTS_REPEATING_DETAIL	Repeating Detail Component	반복 상세 구성요소
ID_OBJECTS_REVEAL	Wall:Wall: Reveal	벽:벽: 모서리 받침
ID_OBJECTS_REVOLUTION	Solid Revolve	솔리드 회전
ID_OBJECTS_REVOLUTION_CUT	Void Forms:Void Revolve	보이드 양식:보이드 회전
ID_OBJECTS_ROOM	Room	공간
ID_OBJECTS_ROOM_FILL	Color Fill Legend	색상 채우기 범례
ID_OBJECTS_ROOM_TAG	Tag Room; Tag Room; Room Tag	룸 태그 지정; 룸 태그 지정; 룸 태그
ID_OBJECTS_SLAB	Floor:Floor: Structural	바닥:바닥: 구조
ID_OBJECTS_SPAN_DIR_SYM	Span Direction Symbol	스팬 방향 기호
ID_OBJECTS_SPAN_DIR_SYM_AUTO_PLACE	Auto Place	자동 배치
ID_OBJECTS_STAIRS	Stair	계단
ID_OBJECTS_STAIRS_PATH	Stair Path	계단 경로
ID_OBJECTS_STRUCTURAL_COLUMN	Column; Structural Column	기둥; 구조 기둥
ID_OBJECTS_STRUCTURAL_WALL	Wall:Wall: Structural	벽:벽: 구조
ID_OBJECTS_SWEEP	Solid Sweep	솔리드 스윕
ID_OBJECTS_SWEEP_CUT	Void Forms:Void Sweep	보이드 양식:보이드 스윕
ID_OBJECTS_SWEPTBLEND	Solid Swept Blend	솔리드 스윕 혼합
ID_OBJECTS_SWEPTBLEND_CUT	Void Forms:Void Swept Blend	보이드 양식:보이드 스윕 혼합
ID_OBJECTS_TAG_NOTE	Label	레이블
ID_OBJECTS_TEXT_NOTE	Text	문자
ID_OBJECTS_TRUSS	Structural Trusses	구조 트러스
ID_OBJECTS_VIEW_DIR_SPEC_CURVE	Symbolic Line	기호 선
ID_OBJECTS_VOLUME_DIVIDER_OBJECTS_TO_DIVIDE	Objects to Divide	분할할 객체
ID_OBJECTS_VOLUME_DIVIDER_SKETCH	Sketch	스케치
ID_OBJECTS_VOLUME_EDIT_DIVISION	Edit Division	분할 편집
ID_OBJECTS_WALL	Wall; Wall:Wall: Architectural	벽; 벽:벽: 건축
ID_OBJECTS_WINDOW	Window	창
ID_OBJECT_BC	Boundary Conditions	경계 조건
ID_OFFSET	Offset	간격띄우기
ID_ONE_WAY_INDICATOR	One Way Indicator	단방향 표시기
ID_OPEN_IN_TWINMOTION	Twinmotion:Open in Twinmotion	Twinmotion:Twinmotion에서 열기
ID_OPERATING_SCHEDULES	MEP Settings:Building Operating Schedules	MEP 설정:건물 운영 일람표
ID_OPTIONS	Options	옵션
ID_ORIENT_EAST_DIRECTION	Orient to East Direction	동쪽 방향으로 조정
ID_ORIENT_NORTHEAST_DIRECTION	Orient to Northeast Direction	북동쪽 방향으로 조정
ID_ORIENT_NORTHWEST_DIRECTION	Orient to Northwest Direction	북서쪽 방향으로 조정
ID_ORIENT_NORTH_DIRECTION	Orient to North Direction	북쪽 방향으로 조정
ID_ORIENT_PLANE	Orient to A Plane	기준면으로 조정
ID_ORIENT_SOUTHEAST_DIRECTION	Orient to Southeast Direction	남동쪽 방향으로 조정
ID_ORIENT_SOUTHWEST_DIRECTION	Orient to Southwest Direction	남서쪽 방향으로 조정
ID_ORIENT_SOUTH_DIRECTION	Orient to South Direction	남쪽 방향으로 조정
ID_ORIENT_TOP_DIRECTION	Orient to Top Direction	위쪽 방향으로 조정
ID_ORIENT_TO_BACK	Orient to Back	뒷면으로 조정
ID_ORIENT_TO_BACK_LEFT	Orient to Back Left	뒷면 왼쪽으로 조정
ID_ORIENT_TO_BACK_RIGHT	Orient to Back Right	뒷면 오른쪽으로 조정
ID_ORIENT_TO_FRONT	Orient to Front	앞면으로 조정
ID_ORIENT_TO_FRONT_LEFT	Orient to Front Left	앞면 왼쪽으로 조정
ID_ORIENT_TO_FRONT_RIGHT	Orient to Front Right	앞면 오른쪽으로 조정
ID_ORIENT_TO_LEFT	Orient to Left	왼쪽으로 조정
ID_ORIENT_TO_OTHER_VIEW	Orient to Other View	기타 뷰로 조정
ID_ORIENT_TO_RIGHT	Orient to Right	오른쪽으로 조정
ID_ORIENT_TO_TOP	Orient to Top	상단으로 조정
ID_ORIENT_WEST_DIRECTION	Orient to West Direction	서쪽 방향으로 조정
ID_OVERRIDE_FAB_PART_BENDS	Elbows	엘보
ID_OVERRIDE_FAB_PART_CROSSES	Crosses	크로스
ID_OVERRIDE_FAB_PART_TEES	Tees	티
ID_PANELSCHEDULE_CELL_EDIT_BORDER	Edit Borders	경계 편집
ID_PANELSCHEDULE_CELL_EDIT_SHADING	Edit Shading	음영 편집
ID_PANELSCHEDULE_CELL_INSERT_GRAPHIC	Insert Graphic	그래픽 삽입
ID_PANELSCHEDULE_CELL_MERGE_UNMERGE	Merge/ Unmerge	병합/ 병합 해제
ID_PANELSCHEDULE_CHANGE_A_TEMPLATE	Change Template	템플릿 변경
ID_PANELSCHEDULE_CIRCUITS_REBALANCELOADS	Rebalance Loads	부하 균형 다시 조정
ID_PANELSCHEDULE_COLUMN_DELETE	Delete Column	열 삭제
ID_PANELSCHEDULE_COLUMN_INSERT_LEFT	Insert Column:Left of Selected	열 삽입:선택한 열 왼쪽
ID_PANELSCHEDULE_COLUMN_INSERT_RIGHT	Insert Column:Right of Selected	열 삽입:선택한 열 오른쪽
ID_PANELSCHEDULE_COLUMN_RESIZE	Resize Column	열 크기 조정
ID_PANELSCHEDULE_PARAM_CALCULATE	Calculated Value	계산된 값
ID_PANELSCHEDULE_PARAM_COMBINE	Combine Parameters	매개변수 결합
ID_PANELSCHEDULE_PARAM_FORMATUNITS	Format Unit	단위 형식
ID_PANELSCHEDULE_PARAM_REMOVE	Remove Parameter	매개변수 제거
ID_PANELSCHEDULE_ROW_DELETE	Delete Row	행 삭제
ID_PANELSCHEDULE_ROW_INSERT_ABOVE	Insert Row:Above Selected	행 삽입:선택한 행 위
ID_PANELSCHEDULE_ROW_INSERT_BELOW	Insert Row:Below Selected	행 삽입:선택한 행 아래
ID_PANELSCHEDULE_ROW_RESIZE	Resize Row	행 크기 조정
ID_PANELSCHEDULE_TEXT_EDIT_FONT	Edit Font	글꼴 편집
ID_PANELSCHEDULE_TEXT_EDIT_FONT_A	Edit Font	글꼴 편집
ID_PANELSCHEDULE_TEXT_HORIZONTAL_ALIGN_CENTER	Horizontally Align:Center	수평으로 정렬:중심
ID_PANELSCHEDULE_TEXT_HORIZONTAL_ALIGN_CENTER_A	Horizontally Align:Center	수평으로 정렬:중심
ID_PANELSCHEDULE_TEXT_HORIZONTAL_ALIGN_LEFT	Horizontally Align:Left	수평으로 정렬:왼쪽
ID_PANELSCHEDULE_TEXT_HORIZONTAL_ALIGN_LEFT_A	Horizontally Align:Left	수평으로 정렬:왼쪽
ID_PANELSCHEDULE_TEXT_HORIZONTAL_ALIGN_RIGHT	Horizontally Align:Right	수평으로 정렬:오른쪽
ID_PANELSCHEDULE_TEXT_HORIZONTAL_ALIGN_RIGHT_A	Horizontally Align:Right	수평으로 정렬:오른쪽
ID_PANELSCHEDULE_TEXT_VERTICAL_ALIGN_BOTTOM	Vertically Align:Bottom	수직으로 정렬:맨 아래
ID_PANELSCHEDULE_TEXT_VERTICAL_ALIGN_BOTTOM_A	Vertically Align:Bottom	수직으로 정렬:맨 아래
ID_PANELSCHEDULE_TEXT_VERTICAL_ALIGN_MIDDLE	Vertically Align:Middle	수직으로 정렬:중간
ID_PANELSCHEDULE_TEXT_VERTICAL_ALIGN_MIDDLE_A	Vertically Align:Middle	수직으로 정렬:중간
ID_PANELSCHEDULE_TEXT_VERTICAL_ALIGN_TOP	Vertically Align:Top	수직으로 정렬:맨 위
ID_PANELSCHEDULE_TEXT_VERTICAL_ALIGN_TOP_A	Vertically Align:Top	수직으로 정렬:맨 위
ID_PAN_VIEW	Pan Active View	활성 뷰 초점이동
ID_PARALLEL_CONDUIT	Parallel Conduits	평행 전선관
ID_PARALLEL_CONDUITS_HORIZONTAL_NUMBER	Horizontal Number	수평 번호
ID_PARALLEL_CONDUITS_HORIZONTAL_OFFSET	Horizontal Offset	수평 간격띄우기
ID_PARALLEL_CONDUITS_RAINBOW_BEND_RADIUS	Concentric Bend Radius	중심 구부림 반지름
ID_PARALLEL_CONDUITS_SAME_BEND_RADIUS	Same Bend Radius	동일한 구부림 반지름
ID_PARALLEL_CONDUITS_VERTICAL_NUMBER	Vertical Number	수직 번호
ID_PARALLEL_CONDUITS_VERTICAL_OFFSET	Vertical Offset	수직 간격띄우기
ID_PARALLEL_INDICATOR	Background Processes	백그라운드 프로세스
ID_PARALLEL_PIPES	Parallel Pipes	평행 배관
ID_PARALLEL_PIPES_HORIZONTAL_NUMBER	Horizontal Number	수평 번호
ID_PARALLEL_PIPES_HORIZONTAL_OFFSET	Horizontal Offset	수평 간격띄우기
ID_PARALLEL_PIPES_VERTICAL_NUMBER	Vertical Number	수직 번호
ID_PARALLEL_PIPES_VERTICAL_OFFSET	Vertical Offset	수직 간격띄우기
ID_PARTITIONS_SHOW_HISTORY	Show History	사용내역 표시
ID_PASTE_EDIT_MODE	Edit Pasted Elements	붙여넣은 요소 편집
ID_PATH_LENGTH	Path Length	경로 길이
ID_PATH_OFFSET	Path Offset	경로 간격띄우기
ID_PATH_OF_TRAVEL	Path of Travel	이동 경로
ID_PATH_OF_TRAVEL_ADD_WAYPOINT	Add Path of Travel Waypoint	Waypoint 이동 경로 추가
ID_PATH_OF_TRAVEL_DELETE_WAYPOINT	Delete Path of Travel Waypoint	Waypoint 이동 경로 삭제
ID_PATH_OF_TRAVEL_SHOW_OBSTACLES	Reveal Obstacles	장애물 표시
ID_PATH_REINFORCEMENT_SYMBOL_AUTO_PLACE	Auto Place	자동 배치
ID_PATH_REIN_SKETCH	Structural Path Reinforcement	구조 경로 철근 배근
ID_PATH_REIN_SKETCH_HOST	Path Reinforcement	경로 철근 배근
ID_PEOPLE_CONTENT	People Content	사람 컨텐츠
ID_PHOTO_RENDERING_VIEW	Render	렌더
ID_PHOTO_RENDER_GALLERY	Cloud Rendering:Render Gallery	Cloud Rendering:렌더 갤러리
ID_PHOTO_RENDER_IN_CLOUD	Cloud Rendering:Render in Cloud	Cloud Rendering:Cloud에서 렌더링
ID_PHYSICAL_TO_ANALYTICAL_RUN_DYNAMO	Analytical Automation:Run Physical to Analytical For Buildings	해석 자동화:실제모델 기반 해석모델 생성 실행
ID_PICK_DIRSPAN_EDGE	Beam Direction	보 방향
ID_PICK_DORMER_BOUNDARY	Pick Roof/ Wall Edges	지붕/벽 모서리 선택
ID_PICK_EDGES	Pick 3D Edges	3D 모서리 선택
ID_PICK_HOST	Pick New Work Plane; Pick New Host	새 작업 기준면 선택; 새 호스트 선택
ID_PICK_HOST_IND_TAG	Pick New Host	새 호스트 선택
ID_PICK_HOST_ROOM_TAG	Pick New Host	새 호스트 선택
ID_PICK_LEVELS_ON_STAIRS_CREATION	Connect Levels	레벨 연결
ID_PICK_PATH	Pick Path	경로 선택
ID_PICK_SLAB_SHAPE_SUPPORTS	Pick Supports	지지 선택
ID_PICK_WORKPLANE	Set:Pick a Plane; Edit Work Plane:Pick a Plane	설정:기준면 선택; 작업 기준면 편집:기준면 선택
ID_PIPE_1LINE_PATH	Pipe Placeholder	배관 자리표시
ID_PLACE_BENDING_DETAIL	Rebar Bending Detail	구부림철근 상세
ID_PLACE_REF_POINT	Reference Point	참조점
ID_PLAN_VIEW_TYPES	Plan View Types	평면 뷰 유형
ID_PLAYLIST_DYNAMO	Dynamo Player	Dynamo 플레이어
ID_POINTELEMENT_REHOST	Pick New Host	새 호스트 선택
ID_POINT_CLOUD	Point Cloud	포인트 클라우드
ID_PRJBROWSER_COPY	Duplicate View:Duplicate View	뷰 복제:뷰 복제
ID_PROPAGATE_REBAR	Propagate Rebar	보강 철근 복제
ID_PROPAGATE_REBAR_BY_FACE	Align By Face	면 기준 정렬
ID_PROPAGATE_REBAR_BY_HOST	Align By Host	호스트 기준 정렬
ID_PROPAGATE_REBAR_CANCEL	Cancel	취소
ID_PROPAGATE_REBAR_FINISH	Finish	마감
ID_PROPAGATE_REBAR_TOOLTIP	Show Help Tooltip	도움말 툴팁 표시
ID_PROPERTYLINE_EDIT_TABLE	Edit Table	테이블 편집
ID_PROPERTY_LINE_DATA	Property Line Data	대지 경계선 데이터
ID_PURGE_UNUSED	Purge Unused	사용하지 않은 항목 소거
ID_QUICK_MRA_PLACEMENT	Pick Position	위치 선택
ID_QUIT_CONNECTED_LEVELS_EDIT	Cancel	취소
ID_QUIT_INPLACE_FAMILY	Cancel Model	모델 취소
ID_QUIT_INPLACE_MASS	Cancel Mass	매스 취소
ID_QUIT_INPLACE_ZONE	Cancel	취소
ID_QUIT_LEVEL_LANDINGS_EDIT	Cancel	취소
ID_QUIT_PASTE	Cancel	취소
ID_QUIT_PASTE_EDIT_MODE	Cancel	취소
ID_QUIT_PICK_BOUNDARY	Cancel Edit Mode	편집 모드 취소
ID_QUIT_PICK_PATH	Cancel Edit Mode	편집 모드 취소
ID_QUIT_SKETCH_PATH	Cancel Edit Mode	편집 모드 취소
ID_QUIT_SKETCH_PROFILE	Cancel Edit Mode	편집 모드 취소
ID_QUIT_SWEEP	Cancel Edit Mode	편집 모드 취소
ID_QUIT_SWEPT_BLEND	Cancel Edit Mode	편집 모드 취소
ID_RADIO_HOR_ARROW	Single Horizontal	단일 수평
ID_RADIO_HOR_ARROW2	Double Horizontal	이중 수평
ID_RADIO_VER_ARROW	Single Vertical	단일 수직
ID_RADIO_VER_ARROW2	Double Vertical	이중 수직
ID_RAILING_EDIT_JOINS	Edit Joins	결합 편집
ID_RAILING_EDIT_MODE_TOGGLE_PREVIEW	Preview	미리보기
ID_RAILING_SET_HOST	Pick New Host; Pick New Host	새 호스트 선택; 새 호스트 선택
ID_RAILPATH_EDITMODE_FINISH	Finish Edit Mode	편집 모드 완료
ID_RAILPATH_EDITMODE_QUIT	Cancel Edit Mode	편집 모드 취소
ID_RBS_ADD_CABLETRAY_CONNECTOR	Cable Tray Connector; Cable Tray Connector	케이블 트레이 커넥터; 케이블 트레이 커넥터
ID_RBS_ADD_CONDUIT_CONNECTOR	Conduit Connector; Conduit Connector	전선관 커넥터; 전선관 커넥터
ID_RBS_ADD_DUCT_CONNECTOR	Duct Connector; Duct Connector	덕트 커넥터; 덕트 커넥터
ID_RBS_ADD_ELECTRICAL_CONNECTOR	Electrical Connector; Electrical Connector	전기 커넥터; 전기 커넥터
ID_RBS_ADD_PIPE_CONNECTOR	Pipe Connector; Pipe Connector	배관 커넥터; 배관 커넥터
